ID,Expression
1,( == ( min ( - 326 ( + ( * v0 8 ) ( * v1 30 ) ) ) ( - 29 ( * v0 8 ) ) ) ( min ( - 326 ( + ( * v0 8 ) ( * v1 30 ) ) ) ( - 29 ( * v0 8 ) ) ) )
2,( == ( - ( - ( - ( / ( + ( + v0 v1 ) 31 ) 32 ) ( * v2 16 ) ) ( / v1 32 ) ) ( * v3 4 ) ) ( - ( - ( - ( / ( + ( + v0 v1 ) 31 ) 32 ) ( * v2 16 ) ) ( / v1 32 ) ) ( * v3 4 ) ) )
3,( == ( * ( / ( * ( / v0 ( / ( + v1 499 ) 500 ) ) -500 ) 250 ) 250 ) ( * ( / v0 ( / ( + v1 499 ) 500 ) ) -500 ) )
4,( == 0 ( - ( + 0 ( + ( max ( min ( * v0 4 ) -18 ) -22 ) 22 ) ) 1 ) )
5,( <= ( max ( + ( min ( min ( min ( + ( * ( - v5 v4 ) 2 ) 4 ) ( - ( / ( - ( + v2 v3 ) 3 ) 4 ) ( * v4 2 ) ) ) ( - ( / ( min ( + ( * v5 8 ) 16 ) ( + v2 v3 ) ) 4 ) ( * v4 2 ) ) ) ( - ( + 0 ( + ( * ( min ( - ( - v7 ( * v8 2 ) ) v6 ) 0 ) 2 ) 5 ) ) 1 ) ) 1 ) ( min ( max ( + ( - ( / v3 4 ) ( * v4 2 ) ) 1 ) 0 ) ( + ( + ( * ( min ( - ( - v7 ( * v8 2 ) ) v6 ) 0 ) 2 ) 5 ) 0 ) ) ) ( min ( max ( + ( - ( / v3 4 ) ( * v4 2 ) ) 1 ) 0 ) ( + ( + ( * ( min ( - ( - v7 ( * v8 2 ) ) v6 ) 0 ) 2 ) 5 ) 0 ) ) )
6,( && ( && ( && ( && ( && ( && 1 ( <= ( + v0 v1 ) ( + v0 v1 ) ) ) ( >= ( + v0 v1 ) ( + v0 v1 ) ) ) ( <= ( / v2 64 ) ( / ( / v2 8 ) 8 ) ) ) ( >= ( / ( + ( / v2 8 ) ( / ( + ( % v2 8 ) 124 ) 8 ) ) 8 ) ( / ( - ( + ( / ( + ( % v2 8 ) 132 ) 8 ) ( / v2 8 ) ) 1 ) 8 ) ) ) ( <= ( + ( * 0 4 ) 0 ) ( + ( * 0 4 ) 0 ) ) ) ( >= ( + ( * 68 4 ) 3 ) ( + ( * ( - ( + 69 0 ) 1 ) 4 ) ( - ( + 4 0 ) 1 ) ) ) )
7,( == ( + ( * v0 252 ) ( + ( min ( * v1 1000 ) ( - v2 1000 ) ) v3 ) ) ( + ( * v0 252 ) ( + ( min ( * v1 1000 ) ( - v2 1000 ) ) v3 ) ) )
8,( == ( + ( min ( - ( / ( max ( min ( / ( - ( + v0 v1 ) 1 ) 2 ) 991 ) 0 ) 31 ) ( / ( max ( min ( / v1 2 ) 991 ) 0 ) 31 ) ) v2 ) 7 ) ( + ( min ( - ( / ( max ( min ( / ( - ( + v0 v1 ) 1 ) 2 ) 991 ) 0 ) 31 ) ( / ( max ( min ( / v1 2 ) 991 ) 0 ) 31 ) ) v2 ) 7 ) )
9,( == ( min ( + ( min ( - ( - ( max ( min ( * ( min ( / ( + ( + v0 v1 ) 499 ) 500 ) 3 ) 8 ) 22 ) -7 ) ( * v2 12 ) ) ( max ( min ( * ( / v1 500 ) 8 ) 36 ) 5 ) ) -16 ) 16 ) v3 ) ( min ( + ( min ( - ( - ( max ( min ( * ( min ( / ( + ( + v0 v1 ) 499 ) 500 ) 3 ) 8 ) 22 ) -7 ) ( * v2 12 ) ) ( max ( min ( * ( / v1 500 ) 8 ) 36 ) 5 ) ) -16 ) 16 ) v3 ) )
10,( && ( && ( && ( && ( && ( && 1 ( <= ( + 0 ( + ( * v0 8 ) v1 ) ) ( + 0 ( + ( * v0 8 ) v1 ) ) ) ) ( >= ( + 3 ( + ( + ( * v0 8 ) v1 ) 4 ) ) ( + 3 ( + ( + ( * v0 8 ) v1 ) 4 ) ) ) ) ( <= ( - v2 6 ) ( - v2 6 ) ) ) ( >= ( + v2 127 ) ( + v2 127 ) ) ) ( <= 0 0 ) ) ( >= 0 0 ) )
11,( == ( - ( min ( - ( * ( / ( + ( + v0 v1 ) 249 ) 250 ) 32 ) ( * v2 152 ) ) ( + ( * ( / v1 250 ) 32 ) 104 ) ) ( + ( * v3 4 ) ( + ( * ( / v1 250 ) 32 ) ( * v4 80 ) ) ) ) ( - ( min ( - ( * ( / ( + ( + v0 v1 ) 249 ) 250 ) 32 ) ( * v2 152 ) ) ( + ( * ( / v1 250 ) 32 ) 104 ) ) ( + ( * v3 4 ) ( + ( * ( / v1 250 ) 32 ) ( * v4 80 ) ) ) ) )
12,( == ( + ( * v0 76 ) ( + ( * v1 4 ) ( + ( * v2 152 ) v3 ) ) ) ( + ( * v0 76 ) ( + ( * v1 4 ) ( + ( * v2 152 ) v3 ) ) ) )
